"Name","Poor Children Living in Concentrated Poverty"
"Description","The total poor population under the age of 18 living in extreme-poverty neighborhoods.&nbsp;Extreme-poverty neighborhoods are census tracts with poverty rates of 40 percent or higher. For residents living in concentrated poverty, the burdens of individual poverty are amplified. The obstacles they face may include high crime rates, poor health outcomes, reduced private investments, limited educational and job opportunities, and poor housing conditions."
"Source Notes","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table S1701 (2010-2020); retrieved from&nbsp;<a href=""https://data.census.gov/"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","Percents refer to the share of the poor children living in extreme poverty tracts."

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2010,Number,0,101
Greenwich Village,2010,Number,0,102
Lower East Side,2010,Number,1955,103
Chelsea/Clinton,2010,Number,0,104
Midtown Business District,2010,Number,0,105
Murray Hill/Stuyvesant,2010,Number,0,106
Upper West Side,2010,Number,0,107
Upper East Side,2010,Number,0,108
Manhattanville,2010,Number,1387,109
Central Harlem,2010,Number,3917,110
East Harlem,2010,Number,2211,111
Washington Heights,2010,Number,140,112
Mott Haven,2010,Number,11358.91115,201
Hunts Point,2010,Number,6486.08885,202
Morrisania,2010,Number,8145.96884,203
Concourse/Highbridge,2010,Number,9451,204
University Heights,2010,Number,11871,205
East Tremont,2010,Number,8504.03116,206
Bedford Park,2010,Number,4298,207
Riverdale,2010,Number,0,208
Unionport/Soundview,2010,Number,1530,209
Throgs Neck,2010,Number,0,210
Pelham Parkway,2010,Number,0,211
Williamsbridge,2010,Number,18,212
Williamsburg/Greenpoint,2010,Number,12076,301
Fort Greene/Brooklyn Hts,2010,Number,1402,302
Bedford Stuyvesant,2010,Number,9981,303
Bushwick,2010,Number,2542,304
East New York,2010,Number,4314,305
Park Slope,2010,Number,1371,306
Sunset Park,2010,Number,792,307
Crown Heights North,2010,Number,1670,308
Crown Heights South,2010,Number,0,309
Bay Ridge,2010,Number,0,310
Bensonhurst,2010,Number,0,311
Borough Park,2010,Number,4415,312
Coney Island,2010,Number,50,313
Flatbush/Midwood,2010,Number,239,314
Sheepshead Bay,2010,Number,741,315
Brownsville,2010,Number,8569,316
East Flatbush,2010,Number,0,317
Canarsie,2010,Number,1349,318
Astoria,2010,Number,758,401
Sunnyside/Woodside,2010,Number,0,402
Jackson Heights,2010,Number,0,403
Elmhurst/Corona,2010,Number,0,404
Ridgewood/Glendale,2010,Number,187,405
Rego Park/Forest Hills,2010,Number,0,406
Flushing,2010,Number,0,407
Fresh Meadows/Briarwood,2010,Number,0,408
Woodhaven,2010,Number,0,409
Howard Beach,2010,Number,0,410
Bayside,2010,Number,0,411
Jamaica/St. Albans,2010,Number,0,412
Queens Village,2010,Number,0,413
The Rockaways,2010,Number,2332,414
St. George,2010,Number,315,501
South Beach,2010,Number,0,502
Tottenville,2010,Number,0,503
Bronx,2010,Number,61663,36005
Brooklyn,2010,Number,49511,36047
Manhattan,2010,Number,9610,36061
Queens,2010,Number,3277,36081
Staten Island,2010,Number,315,36085
New York City,2010,Number,124376,3651000
Battery Park/Tribeca,2010,Percent,0,101
Greenwich Village,2010,Percent,0,102
Lower East Side,2010,Percent,0.23354,103
Chelsea/Clinton,2010,Percent,0,104
Midtown Business District,2010,Percent,0,105
Murray Hill/Stuyvesant,2010,Percent,0,106
Upper West Side,2010,Percent,0,107
Upper East Side,2010,Percent,0,108
Manhattanville,2010,Percent,0.17277,109
Central Harlem,2010,Percent,0.39107,110
East Harlem,2010,Percent,0.17996,111
Washington Heights,2010,Percent,0.00877,112
Mott Haven,2010,Percent,0.72544,201
Hunts Point,2010,Percent,0.72544,202
Morrisania,2010,Percent,0.66166,203
Concourse/Highbridge,2010,Percent,0.49679,204
University Heights,2010,Percent,0.57724,205
East Tremont,2010,Percent,0.66166,206
Bedford Park,2010,Percent,0.28648,207
Riverdale,2010,Percent,0,208
Unionport/Soundview,2010,Percent,0.09666,209
Throgs Neck,2010,Percent,0,210
Pelham Parkway,2010,Percent,0,211
Williamsbridge,2010,Percent,0.0019,212
Williamsburg/Greenpoint,2010,Percent,0.74848,301
Fort Greene/Brooklyn Hts,2010,Percent,0.27045,302
Bedford Stuyvesant,2010,Percent,0.54106,303
Bushwick,2010,Percent,0.17548,304
East New York,2010,Percent,0.25215,305
Park Slope,2010,Percent,0.49964,306
Sunset Park,2010,Percent,0.07177,307
Crown Heights North,2010,Percent,0.17093,308
Crown Heights South,2010,Percent,0,309
Bay Ridge,2010,Percent,0,310
Bensonhurst,2010,Percent,0,311
Borough Park,2010,Percent,0.20417,312
Coney Island,2010,Percent,0.00905,313
Flatbush/Midwood,2010,Percent,0.02087,314
Sheepshead Bay,2010,Percent,0.15649,315
Brownsville,2010,Percent,0.53543,316
East Flatbush,2010,Percent,0,317
Canarsie,2010,Percent,0.19748,318
Astoria,2010,Percent,0.10056,401
Sunnyside/Woodside,2010,Percent,0,402
Jackson Heights,2010,Percent,0,403
Elmhurst/Corona,2010,Percent,0,404
Ridgewood/Glendale,2010,Percent,0.02862,405
Rego Park/Forest Hills,2010,Percent,0,406
Flushing,2010,Percent,0,407
Fresh Meadows/Briarwood,2010,Percent,0,408
Woodhaven,2010,Percent,0,409
Howard Beach,2010,Percent,0,410
Bayside,2010,Percent,0,411
Jamaica/St. Albans,2010,Percent,0,412
Queens Village,2010,Percent,0,413
The Rockaways,2010,Percent,0.27598,414
St. George,2010,Percent,0.03107,501
South Beach,2010,Percent,0,502
Tottenville,2010,Percent,0,503
Bronx,2010,Percent,0.41964,36005
Brooklyn,2010,Percent,0.26485,36047
Manhattan,2010,Percent,0.15399,36061
Queens,2010,Percent,0.0403,36081
Staten Island,2010,Percent,0.02018,36085
New York City,2010,Percent,0.25217,3651000
Battery Park/Tribeca,2011,Number,0,101
Greenwich Village,2011,Number,0,102
Lower East Side,2011,Number,1766,103
Chelsea/Clinton,2011,Number,0,104
Midtown Business District,2011,Number,0,105
Murray Hill/Stuyvesant,2011,Number,0,106
Upper West Side,2011,Number,0,107
Upper East Side,2011,Number,0,108
Manhattanville,2011,Number,1135,109
Central Harlem,2011,Number,3228,110
East Harlem,2011,Number,1988,111
Washington Heights,2011,Number,0,112
Mott Haven,2011,Number,10372.28675,201
Hunts Point,2011,Number,5922.71325,202
Morrisania,2011,Number,7815.72686,203
Concourse/Highbridge,2011,Number,7851,204
University Heights,2011,Number,11936,205
East Tremont,2011,Number,8159.27314,206
Bedford Park,2011,Number,2812,207
Riverdale,2011,Number,1907,208
Unionport/Soundview,2011,Number,1966,209
Throgs Neck,2011,Number,0,210
Pelham Parkway,2011,Number,0,211
Williamsbridge,2011,Number,0,212
Williamsburg/Greenpoint,2011,Number,11223,301
Fort Greene/Brooklyn Hts,2011,Number,1983,302
Bedford Stuyvesant,2011,Number,9928,303
Bushwick,2011,Number,2236,304
East New York,2011,Number,5107,305
Park Slope,2011,Number,1361,306
Sunset Park,2011,Number,192,307
Crown Heights North,2011,Number,1989,308
Crown Heights South,2011,Number,0,309
Bay Ridge,2011,Number,419,310
Bensonhurst,2011,Number,0,311
Borough Park,2011,Number,5411,312
Coney Island,2011,Number,811,313
Flatbush/Midwood,2011,Number,0,314
Sheepshead Bay,2011,Number,613,315
Brownsville,2011,Number,8469,316
East Flatbush,2011,Number,0,317
Canarsie,2011,Number,1150,318
Astoria,2011,Number,666,401
Sunnyside/Woodside,2011,Number,0,402
Jackson Heights,2011,Number,0,403
Elmhurst/Corona,2011,Number,0,404
Ridgewood/Glendale,2011,Number,396,405
Rego Park/Forest Hills,2011,Number,0,406
Flushing,2011,Number,0,407
Fresh Meadows/Briarwood,2011,Number,1073,408
Woodhaven,2011,Number,0,409
Howard Beach,2011,Number,0,410
Bayside,2011,Number,0,411
Jamaica/St. Albans,2011,Number,0,412
Queens Village,2011,Number,0,413
The Rockaways,2011,Number,2350,414
St. George,2011,Number,305,501
South Beach,2011,Number,0,502
Tottenville,2011,Number,0,503
Bronx,2011,Number,58742,36005
Brooklyn,2011,Number,50892,36047
Manhattan,2011,Number,8117,36061
Queens,2011,Number,4485,36081
Staten Island,2011,Number,305,36085
New York City,2011,Number,122541,3651000
Battery Park/Tribeca,2011,Percent,0,101
Greenwich Village,2011,Percent,0,102
Lower East Side,2011,Percent,0.2156,103
Chelsea/Clinton,2011,Percent,0,104
Midtown Business District,2011,Percent,0,105
Murray Hill/Stuyvesant,2011,Percent,0,106
Upper West Side,2011,Percent,0,107
Upper East Side,2011,Percent,0,108
Manhattanville,2011,Percent,0.14719,109
Central Harlem,2011,Percent,0.32882,110
East Harlem,2011,Percent,0.1828,111
Washington Heights,2011,Percent,0,112
Mott Haven,2011,Percent,0.70041,201
Hunts Point,2011,Percent,0.70041,202
Morrisania,2011,Percent,0.65236,203
Concourse/Highbridge,2011,Percent,0.4081,204
University Heights,2011,Percent,0.59484,205
East Tremont,2011,Percent,0.65236,206
Bedford Park,2011,Percent,0.19277,207
Riverdale,2011,Percent,0.34959,208
Unionport/Soundview,2011,Percent,0.12047,209
Throgs Neck,2011,Percent,0,210
Pelham Parkway,2011,Percent,0,211
Williamsbridge,2011,Percent,0,212
